Feature_1,Feature_2,Feature_3
1473.6259049002042,-4.022774551919689,-76752.62358686447
1482.5769033456759,-3.9896608916930556,-76746.50866081948
1482.5094188014855,-3.996352654028734,-76747.73440049967
1492.7560516336287,-3.9137846202550146,-76739.75504176698
1522.4135828273143,-3.8103563347782106,-78972.10508262564
1471.174081230927,-3.7282452187062525,-76753.31392620683
1476.4750610388462,-3.7770770652353596,-76748.93603855695
1428.7123077912286,-3.771201968089354,-74506.75284251144
1465.8617392293431,-3.736868950799447,-76749.88633111799
1460.2023338576382,-2.938340547885777,-76753.37418026415
1516.3447511361696,-2.8858702112614427,-78975.4977626402
1505.4627715486238,-2.9488495068123384,-76740.14238927828
1512.0129040418592,-2.9692232005680803,-76735.25320291347
1575.3908759945175,-2.962166716803148,-78952.91007670337
1537.4377060655138,-2.93253247553216,-76727.60782381275
1484.8087946423955,-2.9501395963741643,-74489.37202802615
1518.5781861266478,-2.892920339080524,-76733.8019409045
1501.1379074691697,-2.8095389035742797,-76741.7795780927
1497.6789802705234,-2.745757998305267,-76741.42666147128
1447.3386192114635,-2.7833656214505704,-74496.5502609649
1483.1877073323767,-2.778935876199453,-76746.98036401102
1497.8194583012867,-2.821755692795035,-76586.52208784287
1491.1353896463672,-2.746364419867109,-76741.87598458439
1426.266428513824,-2.8103517547317822,-74512.76979242121
1478.992647707819,-2.6894158243724244,-76746.5362055314
1486.5788056779338,-2.552157509991677,-76746.66876445748
1503.4650913170344,-2.446747845733851,-76739.50197472627
1475.2364806620735,-2.5452838093322354,-74496.98135595981
1490.9353563028217,-2.5407925599033763,-74487.61757165146
1487.4314562859358,-2.515062209566657,-74488.05367937888
1479.7873734069426,-2.401961701393841,-74489.25339335701
1462.0195759727237,-2.312019635566053,-74495.97045490582
1478.895208289422,-2.1976296083400215,-76745.7356873414
1463.907786227918,-2.180259440861495,-76753.30704002886
1466.5923627128716,-2.2373304612070344,-76753.73742615251
1518.3835547618748,-2.2893328991552466,-78971.45353183267
1466.5496684094041,-2.3623014685117205,-76754.60508457782
1483.850846271715,-2.3491213329066656,-76744.24138672004
1482.8086232346554,-2.365504522513569,-76745.80799221016
1386.4877226759636,-2.75906206947596,-74531.72961764372
1423.672881225708,-2.589882335483591,-76764.2577845593
1380.4176985620882,-3.019546261951501,-76774.48031576852
1244.6544617063253,-3.6039767481837988,-74566.8555051759
1241.3947172057099,-3.896231160711973,-76832.2897798988
1266.5843562513953,-4.045186171871502,-76818.69646456906
1241.712514319422,-4.084259097561877,-76824.84582150394
1170.90246262892,-4.228854555658171,-74594.29854469775
1175.712974410314,-4.329734082981529,-76853.55946213017
1191.411556375825,-4.47270328040481,-74579.85017872446
