Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Close
12040572048599.66,1059475228243.6053,-30746001944085.68,-10620483646087.117,15744804284255.477,23187235701162.52,4095794374890.7456,944974638304.289,-8884858598122.01,628.8083333333333
8844828756463.967,778275037477.4626,-22585564993850.94,-7801652482620.1455,11565903679132.963,17033005449571.707,3008710861453.9053,694164626368.9437,-6526687710965.624,628.565
13865504688983.01,1220054926828.4763,-35406028100616.17,-12230180230508.05,18131170098504.062,26701615408428.863,4716574570210.34,1088199919611.9941,-10231494494112.092,673.0383333333334
10542831332000.512,927685895670.4193,-26921471020439.855,-9299389386082.203,13786289934894.877,20302948499514.266,3586313753152.4316,827428113859.6135,-7779660639133.268,681.24
12908304193460.303,1135828807499.5386,-32961784855569.594,-11385873782288.455,16879490652530.46,24858278358865.62,4390967427804.9414,1013076449258.7256,-9525166810557.15,662.7
11324045413494.809,996426569564.3395,-28916327116104.473,-9988465560767.006,14807841316370.934,21807378210876.32,3852056290157.3154,888739759551.9683,-8356126286677.728,660.355
10214591053660.096,898803310427.4784,-26083298685079.66,-9009862376976.576,13357067730682.715,19670837050153.637,3474657554443.0605,801667038487.2527,-7537448998698.139,667.635
10807062152725.703,950936116391.7943,-27596193251622.758,-9532456309284.232,14131810252636.107,20811793304750.4,3676196122245.7124,848165626874.0941,-7974639228046.891,695.1633333333334
10837659281331.658,953628400902.7693,-27674323347524.383,-9559444639523.906,14171820310370.975,20870715545466.21,3686604183319.768,850566902340.9355,-7997217011282.413,684.3033333333333
17357530546319.99,1527325620844.7139,-44323033253285.87,-15310349889424.773,22697503307600.035,33426414893563.605,5904443425379.701,1362263062854.488,-12808295559727.371,704.5949999999999
14182484236383.541,1247946608761.3071,-36215446004986.57,-12509774585319.95,18545667021042.56,27312041559064.598,4824400272005.482,1113077302388.8496,-10465396939410.572,708.4583333333334
15168828498565.404,1334737110937.7678,-38734108939810.33,-13379787490938.273,19835456001592.656,29211502547500.31,5159921148753.096,1190488103764.879,-11193230249281.568,721.9566666666667
17166315670923.93,1510500189073.0403,-43834758997073.695,-15141687136302.432,22447461754389.273,33058180746013.586,5839398564099.935,1347255980994.1084,-12667196078081.348,716.9533333333333
14598244644460.787,1284530263883.107,-37277104030721.266,-12876499432244.428,19089334515288.848,28112695736321.727,4965827861466.617,1145707205769.2505,-10772190627586.16,734.8083333333333
14746573676082.22,1297582048068.0093,-37655867093536.234,-13007334244147.896,19283296360947.062,28398341611187.613,5016284364631.2705,1157348435597.9956,-10881644083199.963,735.85
10053503903148.662,884628932534.6078,-25671957164734.773,-8867774168037.418,13146422876177.055,19360622000119.293,3419861156782.988,789024475985.2192,-7418581085985.175,721.7633333333332
11888426738840.94,1046087663152.0612,-30357493733431.688,-10486282664479.107,15545852199650.658,22894240491825.52,4044039689535.759,933033855297.2559,-8772588961187.177,725.9333333333333
15004092331495.11,1320241649937.6418,-38313449521009.09,-13234480637876.068,19620039532652.285,28894260363574.777,5103883478300.409,1177559153945.652,-11071669682331.736,734.5916666666667
19436374313483.984,1710247532541.644,-49631429131355.87,-17144010783071.018,25415895110854.094,37429765622740.086,6611595516525.574,1525415791139.2808,-14342294657553.309,752.285
18483040120941.562,1626361585999.4563,-47197058684173.016,-16303114605223.035,24169271266491.316,35593874185398.87,6287303567735.49,1450595798726.634,-13638820069068.29,800.4155172413792
10608892811018.363,933498781995.8508,-27090161211502.973,-9357659444087.719,13872674944462.924,20430166966246.1,3608785628985.5156,832612788801.7054,-7828408072622.061,769.025
14106104293946.516,1241225757477.5137,-36020407325835.51,-12442403021473.559,18445789007299.973,27164952259573.094,4798418411285.814,1107082837524.3413,-10409035489171.902,758.3833333333333
15803028112473.121,1390541667202.6704,-40353558717029.766,-13939188364594.79,20664764495261.285,30432817892757.137,5375654350642.597,1240261689978.8518,-11661212473520.996,760.2466666666667
14291945504545.236,1257578362937.6047,-36494958949825.38,-12606325809045.842,18688803732357.24,27522837505006.598,4861635276846.195,1121668065401.6794,-10546169407492.293,768.595
